"irşad","doğru yolu gösterme"
"Gavs-ı Âzam","bk. Abdülkadir-i Geylânî (k.s.)"
"himmet","ciddî gayret, yardım"
"intibah","uyanış"
"İstanbul","bk. İstanbul"
"hayat-ı medeniye","medenî hayat"
"şâşaalı","gösterişli, göz alıcı bir şekilde"
"hayat-ı içtimaiye","sosyal hayat"
"Dâüssıla","vatan özlemi"
"iştiyak-ı vatan","vatan özlemi"
"sevk","yönlendirmek"
"Van","bk. Van"
"evvel","önce"
"Van","bk. Van"
"Horhor","Van Kalesi üzerinde bulunan, Üstad Bediüzzaman'ın 1897-1907 ve 1912-1914 yılları arasında medrese olarak kullanp ve talebe yetiştirdiği mekan; bk. Horhor Medresesi"
"medrese","din eğitimi veren yüksek okul"
"sair","başka, diğer"
"Van","bk. Van"
"hane","ev"
"istilâ","işgal"
"Ermeni","bk. Ermeniler"
"Van","bk. Van"
"yekpare","tek parça"
"medrese","din eğitimi veren yüksek okul"
"evvel","önce"
"medrese","din eğitimi veren yüksek okul"
"hakikaten","gerçekten"
"enîs","arkadaş, dost"
"talebe","öğrenci"
"hakikî","gerçek"
"musibet","belâ, büyük sıkıntı"
"medrese","din eğitimi veren yüksek okul"
"medrese","din eğitimi veren yüksek okul"
"nâzır","bakan, gözeten"
"evvel","önce"
"hayalen","hayal ederek"
"asır","yüzyıl"
"tahavvülât","değişimler"
"medrese","din eğitimi veren yüksek okul"
"mevki","yer, makam"
"tahrip","yıkıp yok etmek"
"Evvel","önce"
"hazîn","hüzünlü, acıklı"
"nazar","bakış"
"hane","ev"
"ahbap","arkadaş, dost"
"Kısm-ı âzam","büyük kısım"
"muhaceret","göç etme"
"gurbet","gariplik, yabancı memlekette olma"
"Ermeni","bk. Ermeniler"
"Van","bk. Van"
"hane","ev"
"tahrip edilmiş","yıkılmış"
"rikkat","acıma, yufka yüreklilik"
"gurbet","gariplik, yabancı memlekette olma"
"gurbet","gariplik, yabancı memlekette olma"
"Vâ esefâ","Yazıklar olsun"
"gurbet","gariplik, yabancı memlekette olma"
"Rica","ümit"
"bahsi geçen","anılan"
"Abdurrahman","bk. Abdurrahman (Nursî)"
"alâkadar","alakalı, ilgili"
"talebe","öğrenci"
"ahbap","dostlar, sevgililer"
"harabezar","yıkılmış, harabe olmuş"
"fıkra","kısa yazı, özlü söz"
"mânâ","anlam"
"hazîn levha","hüzünlü, acıklı tablo"
"mânâ","anlam"
"Fıkra","kısa yazı, özlü söz"
"mufarakat","ayrılık"
"ziyade","çok, fazla"
"ahbap","dostlar, sevgililer"
"mufarakat","ayrılık"
"vaziyet","durum, hâl"
"medet","yardım"
"gam","sıkıntı, üzüntü"
"tesirat","tesirler, etkiler"
"ahbap","dostlar, sevgililer"
"menzil","yer, ev"
"mürur-u zaman","zamanın geçmesi"
"harabegâh","yıkılmış yer"
"firkat","ayrılık"
"mahall-i ikamet","oturulan yer"
"harabezâr","yıkılmış, harabe olmuş"
"mamur","imar edilmiş, şenlendirilmiş"
"sürur","mutluluk, sevinç"
"suret","biçim, görünüş"
"tedris","ders verme"
"kıymettar","kıymetli, değerli"
"talebe","öğrenci"
"safahât","safhalar, dönemler"
"ehl-i dünya","dünyaya dalıp, âhireti düşünmeyenler"
"taaccüp","hayret etmek"
"vaziyet","durum, hâl"
"fâni","geçici, ölümlü"
"bilbedâhe","açık bir şekilde"
"Ehl-i hakikat","varlıkların ve olayların ardındaki gerçeğe ulaşan kişiler"
"mütemadiyen","sürekli olarak"
"gaddar","acımasız"
"mekkâr","düzenbaz, hileci"
"hane","ev"
"alâkadar","alakalı, ilgili"
"alâkadar","alakalı, ilgili"
"itibarıyla","açısından"
"rikkat","acıma, yufka yüreklilik"
"medrese","din eğitimi veren yüksek okul"
"Rivayet-i hadis","Hz. Peygamberden (a.s.m.) aktarılan söz, fiil ve haller"
"melâike","melekler"
"tevellüd","doğmak"
"harap","yıkılmak"
"hakikat","asıl, esas, gerçek mahiyet"
"vaziyet","durum, hâl"
"vaziyet","durum, hâl"
"menzil","yer, mekân"
"harap","yıkılmak"
"hayattar","canlı"
"mecma-i ahbap","dostların toplandığı yer"
"medrese","din eğitimi veren yüksek okul"
"umum","bütün, genel"
"medrese","din eğitimi veren yüksek okul"
"azamet","büyüklük"
"Van Kalesi","bk. Van Kalesi"
"yekpare","tek parça"
"medrese","din eğitimi veren yüksek okul"
"merhum","rahmete kavuşmuş, vefat etmiş"
"talebe","öğrenci"
"gurbet","gariplik, vatanından uzak kalma"
"ecel","ölüm vakti"
"tahammül edilmez","dayanılmaz"
"sabır-şiken","sabrı bozan"
"mukavemetsûz","mukavemeti yok eden, dayanılmaz hâle getiren"
"firkat","ayrılık"
"mevt","ölüm"
"râcih","üstün gelen"
"vaziyet","durum, hâl"
"cihât-ı sitte","altı cihet, yön"
"cihet","taraf, yön"
"nazar","bakış"
"şiddet-i teessür","üzüntü ve ıztırabın şiddeti"
"gaflet","bazı gerçeklerin önüne perde çekilmesi"
"hâlî","ıssız"
"vaziyet","durum, hâl"
"hadsiz","sınırsız, sayısız"
"belâ","büyük sıkıntı"
"nokta-i istinad","dayanak noktası"
"ebed","sonsuzluk"
"hadsiz","sınırsız, sayısız"
"nokta-i istimdad","yardım alınan nokta"
"taharrî","araştırmak, incelemek"
"hadsiz","sınırsız, sayısız"
"firak","ayrılık"
"iftirak","ayrılmak"
"tahrip","yıkım"
"hüzün","üzüntü"
"gam","sıkıntı, üzüntü"
"Kur'ân-ı Mu'cizü'l-Beyân","açıklamalarıyla benzerini yapmakta akılları âciz bırakan Kur'ân"
"âyet","Kur'ân'da yer alan her bir cümle"
"hakikat","esas, bir şeyin içyüzü, gerçek yüzü"
"tecellî","görünmek, ortaya çıkmak"
"rikkatli","dokunaklı, acıklı"
"firkatli","ayrılık dolu"
"hüzün","üzüntü"
"meyvedar","meyveli"
"harabezâr","harabe olmuş yer, viranelik"
"hakikat","esas, bir şeyin içyüzü, gerçek yüzü"
"ihtar","hatırlatmak"
"Van","bk. Van"
"sahrâ","çöl"
"suret","biçim, görünüş"
"sun'î","el yapımı"
"Rus istilâsı","bk. Rusya"
"belâ","büyük sıkıntı"
"müteessir","etkilemek, üzüntüye sevk etmek"
"Mâlik-i Hakikî","herşeyin gerçek sahibi olan Allah"
"Rab","Her bir varlığın her türlü ihtiyacını karşılayan, onları terbiye ve idare eden ve egemenliği altında tutan Allah"
"Nakkaş-ı Ezelî","başlangıcı ve sonu olmayıp zamanla sınırlı olmayan ve bütün varlıkları bir nakış halinde yaratan Allah"
"Van","bk. Van"
"mektubat","Allah'ın birer mektup gibi yazdığı ve san'atla yarattığı eserler, varlıklar"
"kemâl-ı şâşaa","mükemmel görünümlü"
"vaziyet","durum"
"harap","yıkık"
"hâlî","ıssız, boş"
"Mâlik-i Hakikî","herşeyin gerçek sahibi olan Allah"
"gaflet","duyarsızlık, umursamazlık"
"tasavvur","düşünmek, hayal etmek"
"mâlik","bir şeyin sahibi"
"tevehhüm","sanmak, zannetmek"
"vaziyet","durum"
"hakikat","esas, bir şeyin içyüzü, gerçek yüzü"
"hakikat","esas, bir şeyin içyüzü, gerçek yüzü"
"nefis","insanın kendisi"
"menfaattar","faydalı, yararlı"
"hüzün-engiz","hüzün veren"
"hâlet","durum, hâl"
"vaziyet","durum"
"Kur'ân-ı Mu'cizü'l-Beyan","açıklamalarıyla benzerini yapmakta akılları âciz bırakan Kur'ân"
"mezkûr","ifade edilen"
"âyet","Kur'ân'da yer alan her bir cümle"
"hakikat","esas, bir şeyin içyüzü, gerçek yüzü"
"hakaik-i imaniye","iman hakikatleri, esasları"
"feyz","mânevî gıda, bereket"
"lillâhilhamd","Allah'a hamd olsun!"
"âyet","Kur'ân'da yer alan her bir cümle"
"hakikat","asıl, esas, gerçek mahiyet"
"feyz","mânevî gıda, bereket"
"risale","Risale-i Nur'u oluşturan bölümlerden her birisi"
"kat'î","kesin"
"kuvvet-i imaniye","iman gücü"
"nisbetinde","oranında"
"inkişaf","açığa çıkmak"
"nokta-i istinad","dayanak noktası"
"vaziyet","durum"
"ziyade","çok, fazla"
"musibet","belâ, büyük sıkıntı"
"iman-ı billâh","Allah'a iman"
"ihtar","hatırlatmak"
"Hâlık","her şeyi yaratan Allah"
"Mâlik-i Hakikî","herşeyin gerçek sahibi olan Allah"
"musahhar","boyun eğmiş"
"intisab","bağlanma, mensup olma"
"Hâlık","her şeyi yaratan Allah"
"suret","biçim, şekil"
"hazîn","hüzün veren, acıklı"
"risale","Risale-i Nur'u oluşturan bölümlerden her birisi"
"kat'î","kesin"
"burhan","güçlü ve sarsılmaz delil, kanıt"
"hadsiz","sınırsız, sayısız"
"iman-ı bil'âhiret","ahirete iman"
"nokta-i istimdad","yardım alınan yer"
"muvakkat","geçici"
"dünyevî","dünya ile ilgili"
"ahbap","dostlar, sevgililer"
"rabıta","bağlantı"
"ebedü'l-âbâd","sonsuzların sonsuzu, âhiret hayatı"
"âlem-i beka","devamlı ve kalıcı olan âhiret âlemi"
"saadet-i ebediye","sonsuz mutluluk"
"hadsiz","sınırsız, sayısız"
"kâfi","yeterli"
"nokta-i istimdad","yardım alınan yer"
"cilve-i rahmet","rahmet ve şefkatin yansıması"
"muvakkat","geçici"
"menzil","yer, ev"
"zemin","yer"
"had ve hesaba gelmez","sınırsız ve sayısız olmak"
"nimet","iyilik, lütuf"
"ihsan","bağışlamak"
"mesken-i ebedî","sonsuza dek kalınacak yer"
"daimî","sürekli"
"hadsiz","sınırsız, sayısız"
"hadsiz","sınırsız, sayısız"
"envâ-ı nimet","nimet çeşitleri"
"ibâd","kullar"
"ihzar","hazırlamak"
"Rahmânü'r-Rahîm","dünya ve ahirette yarattıklarına sonsuz rahmet, şefkat ve merhametiyle muamele eden Allah"
"rahmet","İlâhî şefkat ve merhamet"
"istinad","dayanmak"
"intisab","bağlanma, mensup olma"
"nokta-i istimdad","yardım alınan yer"
"ednâ","en aşağı"
"hadsiz","sınırsız, sayısız"
"ebedî","sonsuz"
"emel","arzu, istek"
"medet","yardım etmek"
"idame","devam ettirmek"
"âyet","Kur'ân'da yer alan her bir cümle"
"hakikat","asıl, esas, gerçek mahiyet"
"ziya","ışık"
"suret","biçim, şekil"
"tecellî","görünmek, yansımak"
"zulümatlı","karanlıklı"
"cihât-ı sitte","altı cihet, yön"
"medrese","din eğitimi veren yüksek okul"
"talebe","öğrenci"
"vaziyet","durum"
"âlem","dünya"
"ihtar","hatırlatmak"
"ifham","anlatmak"
"lillâhilhamd","Allah'a hamd olsun!"
"Van","bk. Van"
"medrese","din eğitimi veren yüksek okul"
"Isparta","bk. Isparta"
"medrese","din eğitimi veren yüksek okul"
"ihyâ","hayat vermek"
"ahbap","dostlar, sevilenler"
"kıymettar","değerli"
"talebe","öğrenci"
"ahbap","dostlar, sevilenler"
"mânen","mânevî olarak"
"ihyâ","hayat vermek"
"hâlî","ıssız"
"harap","yıkılmak"
"suret","biçim, görünüş"
"tasavvur","düşünmek, hayal etmek"
"Mâlik-i Hakikî","herşeyin gerçek sahibi olan Allah"
"hikmet","fayda, gaye"
"iktiza","gerektiren"
"sun'î","el yapımı"
"nev-i beşer","insanlar"
"zeval","yok olma"
"firak","ayrılık"
"teceddüd","yenilenme"
"ahbap","dostlar, sevilenler"
"elîmâne","acı çektiren, elem veren"
"hüzün","üzüntü"
"lezizâne","lezzet verici"
"hüzün","üzüntü"
"dehşetli","ürkütücü, korkunç"
"vaziyet","durum"
"kâinat","evren"
"mevcudat","varlıklar"
"hâlet","durum, hâl"
"şükretmek","Allah'a karşı minnet duymak, teşekkür etmek"
"Arabî","Arapça"
"fıkra","ifade, cümle"
"hakikat","gerçek"
"tasvir","göz önünde canlandırmak"
"hâlet","durum, hâl"
"tesir","etki"
"gaflet","duyarsız olma, göz ardı etme"
"kâinat","evren"
"mevcudat","varlıklar"
"ecnebî","yabancı"
"müthiş","dehşet veren"
"yetim","babası ölmüş olan çocuk, kimsesiz"
"suret","biçim, görünüş"
"gafil","gaflet içinde, duyarsız hareket eden"
"nefs","insanı daima kötülüğe, maddî zevk ve isteklere sevk eden güç"
"tevehhüm","vehimlenme, kuruntuya kapılma"
"nur-u iman","iman aydınlığı"
"aynelyakin","gözle görerek kesin bilgi edinme"
"ecnebî","yabancı"
"müthiş","dehşet veren"
"hayattar","canlı"
"ünsiyetkâr","dostça, cana yakın bir şekilde"
"terhis","göreve son vermek, serbest bırakmak"
"yetim","babası ölmüş olan çocuk, kimsesiz"
"vâveylâ","çığlık, feryat"
"zikir","Allah'ı anma"
"tesbih","Allah'ı her türlü kusurdan yüce tutarak şanına lâyık ifadelerle anma"
"zemzeme","nağme, hoş ses"
"nur-u iman","iman nuru, aydınlığı"
"hadsiz","sayısız"
"nimet","iyilik, lütuf"
"menba","kaynak"
"Hâlık-ı Zülcelâl","sonsuz haşmet sahibi ve her şeyin yaratıcısı olan Allah"
"hadsiz","sayısız"
"hamd","övgü ve şükür"
"hususî","özel"
"mevcudat","varlıklar"
"hamd","övgü ve şükür"
"tesbihât-ı İlâhiye","Allah'ı zikir ve tesbih etmek"
"tasavvur","düşünmek, hayal etmek"
"niyet","bir işi yapmayı önceden düşünme, maksat"
"istimal","kullanmak"
"nokta-i nazar","bakış açısı"
"mevcudat","varlıklar"
"umum","bütün, genel"
"lisan-ı hal","hâl ve beden dili"
"Elhamdü lillâhi alâ nûri'l-îmân","iman nurunu nasip eden Allah'a hamd olsun"
"gafletkârâne","umursamaz ve duyarsız bir şekilde"
"hâlet-i müthişe","dehşet verici durum"
"ezvâk-ı hayat","hayatın lezzetleri, zevkleri"
"emel","arzu, istek"
"nimet","iyilik, lütuf"
"risale","Risale-i Nur'u oluşturan bölümlerden her birisi"
"kat'î","kesin"
"suret","biçim, görünüş"
"nur-u iman","iman nuru, aydınlığı"
"kâinat","evren"
"Horhor","Van Kalesi üzerinde bulunan, Üstad Bediüzzaman'ın 1897-1907 ve 1912-1914 yılları arasında medrese olarak kullanp ve talebe yetiştirdiği mekan; bk. Horhor Medresesi"
"nimet","iyilik, lütuf"
"dâr-ı dünya","dünya yurdu"
"dâr-ı âhiret","âhiret yurdu, öteki dünya"
"sofra-i nimet","nimet sofrası"
"tabla-i rahmet","rahmet tablası, tezgâhı"
"cihazat-ı insaniye","insana ait cihazlar, organlar"
"suret","biçim, görünüş"
"mü'min","Allah'a ve Ondan gelen herşeye inanan"
"nisbetinde","ölçüsünde"
"sofra-i Rahmân","dünya ve âhirette yarattıklarına sonsuz rahmet, şefkat ve merhametiyle muamele eden Allah'ın sofrası"
"nimet","iyilik, lütuf"
"ulvî","yüce"
"hakikat","esas, gerçek"
"hadsiz","sayısız"
"nimet","iyilik, lütuf"
"şükür","teşekkür etme, Allah'a karşı minnet duyma"
"âhiret","öteki dünya, öldükten sonraki sonsuz hayat"
"nimet","iyilik, lütuf"
"rahmet","İlâhî şefkat ve merhamet"
"suret","biçim, görünüş"
"hakikî","asıl, gerçek"
"mü'min","Allah'a ve Ondan gelen herşeye inanan"
"nur-u iman","iman nuru, aydınlığı"
"inkişaf","açığa çıkmak"
"inbisat","genişlemek, yayılmak"
"hasse","duyu, his"
"muazzam","azametli, çok büyük"
"istifade","faydalanmak"
"nur-u iman","iman nuru, aydınlığı"
"nimet","lütuf, iyilik"
"mukabil","karşılık"
"Hâlık","her şeyi yaratan Allah"
"zerrât-ı vücud","bedenî oluşturan atomlar"
"âhiret","öteki dünya, öldükten sonraki sonsuz hayat"
"hamd","övgü ve şükür"
"şükür","Allah'a karşı minnet duyma, teşekkür etme"
"elim","acı ve sıkıntı veren"
"âlem","dünya, evren"
"tesirât-ı azîme","büyük etkiler"
"dâr-ı beka","sonsuzluk âlemi, âhiret"
"semerat","meyveler, neticeler"
"füyuzât","feyizler, mânevî bolluk ve bereketler"
"ihata","kuşatmak kapsamak"
"münasebetiyle","sebebiyle"
"firak","ayrılık"
"ihtiyare","yaşlı kadın"
"zâhiren","dış görünüş itibariyle"
"mânen","mânevî olarak"
"ziyade","çok, fazla"
"fıtrat","yaratılış, mizaç"
"rikkat-i cinsiye","insanın kendi cinsinden olana acıması"
"ziyade","çok, fazla"
"elem","acı, keder"
"elem","acı, keder"
"şefkat","karşılıksız sevgi ve merhamet"
"firak","ayrılık"
"belâ","büyük sıkıntı"
"belâ","büyük sıkıntı"
"mâruz","bir şeyle yüzyüze gelmek"
"fıtrî","doğal, yaratılıştan gelen"
"ziyade","çok, fazla"
"şefkat","karşılıksız sevgi ve merhamet"
"evlât","çocuk"
"mâsum","suçsuz, günahsız"
"teellüm","acı çekme"
"rikkat","acıma, yufka yüreklilik"
"elem","acı, keder"
"sırr-ı şefkat","şefkatin içinde gizli olan sır"
"Hususî","özel"
"hane","ev"
"hasr","yöneltmek, özgü kılmak"
"âlem-i İslâm","İslâm dünyası"
"kıt'a","dünyanın kara parçalarından her biri, bölge, kara parçası"
"hane","ev"
"hamiyet-i İslâmiye","İslâmiyeti savunma gayreti"
"alâkadar","alakalı, ilgili"
"hane","ev"
"elem","acı, keder"
"müteellim","acı çeken"
"firak","ayrılık"
"mahzun","hüzünlü"
"firak","ayrılık"
"belâ","büyük sıkıntı"
"teessürât","üzüntüler"
"nur-u iman","iman nuru, aydınlığı"
"kâfi","yeterli"
"rica","ümit"
"ziya","ışık"
"gaflet","âhirete, Allah'ın emir ve yasaklarına duyarsız davranma hâli, umursamazlık"
"teessürat","üzüntüler"
"teellümât","elemler, acılar"
"kâfi ve vâfi","yeterli"
"elîm","acı ve sıkıntı veren"
"müthiş","dehşet veren"
"firak","ayrılık"
"ehl-i dalâlet","doğru ve hak yoldan sapanlar, inançsız kimseler"
"ehl-i sefahet","zevk, eğlence ve yasak şeylere düşkün olanlar"
"firak","ayrılık"
"rica","ümit"
"ziya","ışık"
"zevk","tatmak, zevk almak"
"tesirâtı","tesirler, etkiler"
"muvafık","uygun"
"ubudiyetkârâne","kulluk ederek"
"tavr-ı şuurdârâne","şuurlu hareket"
"gaflet","âhirete, Allah'ın emir ve yasaklarına duyarsız davranma hâli, umursamazlık"
"ev kemâ kal","veya söylediği gibi"
"meâl","açıklama, anlam"
"hadis","Peygamber Efendimizin (a.s.m.) mübarek söz, fiil ve hareketi veya onun onayladığı başkasına ait söz, iş veya davranış"
"temkin","ağırbaşlılık, ihtiyatlı hareket etme"
"sefahet","yasak zevk ve eğlenceye düşkünlük"
"fena","gelip geçicilik"
"sefahet","yasak zevk ve eğlenceye düşkünlük"
"gaflet","âhirete, Allah'ın emir ve yasaklarına duyarsız davranma hâli, umursamazlık"
"hemşire","kız kardeş"
"ihtiyare","yaşlı kadın"
"Hadis-i şerif","Peygamber Efendimizin (a.s.m.) mübarek söz, fiil ve hareketi veya onun onayladığı başkasına ait söz, iş veya davranış"
"mü'min","Allah'a ve Ondan gelen herşeye inanan"
"dergâh-ı İlâhiye","Allah'ın yüce katı"
"rahmet-i İlâhiye","Allah'ın herşeyi kuşatan sonsuz rahmeti, merhameti"
"hicap","utanma, çekinme"
"rahmet","İlâhî şefkat, merhamet"
"rahmet","İlâhî şefkat, merhamet"
"ubudiyet","kulluk"
"ihtiram","saygı göstermek"
"RİCA","ümit"
"Şua","ışık, parıltı"
"Âyet-i Nuriye-i Hasbiye","Hasbünallahu ve ni'me'l-vekîl (Allah bize yeter, O ne güzel vekildir.) âyetinin mertebeleri, nurları"
"hülâsa","özet"
"ehl-i dünya","dünyaya dalıp, âhireti düşünmeyenler"
"tecrid","soyutlamak, insanlardan uzak tutmak"
"gurbet","yabancılık, vatanından uzak olma hâli"
"gaflet","âhirete, Allah'ın emir ve yasaklarına duyarsız davranma hâli, umursamazlık"
"aşk-ı beka","sonsuzluk aşkı"
"şedit","şiddetli"
"muhabbet-i vücut","var olma sevgisi"
"iştiyak-ı hayat","yaşama şevki, şiddetli yaşama arzusu"
"hadsiz","sayısız, sınırsız"
"acz","güçsüzlük"
"nihayetsiz","sınırsız"
"fakr","fakirlik"
"hükm","hakim olmak"
"müthiş","dehşet verici, ürkütücü"
"fenâ","gelip geçicilik"
"beka","sonsuzluk"
"hâlet","durum, hâl"
"Dil","gönül"
"beka","sonsuzluk"
"Hak","varlığı hak olan ve her hakkın sahibi olan Allah"
"fenâ","gelip geçicilik"
"mülk-ü ten","beden mülkü"
"devâ","ilâç, çare"
"Lokman","bk. Lokman Hekim"
"bîhaber","habersiz"
"Meyusâne","ümitsizce"
"imdad","yardıma gelmek"
"ilmelyakin","ilim yoluyla bir konuda kesin bilgi edinme"
"aynelyakin","gözle görerek kesin bilgi edinme"
"kıymettar","değerli"
"envâr","nurlar"
"mertebe-i hasbiye","Hasbünallahu ve ni'me'l-vekîl (Allah bize yeter, O ne güzel vekildir.) âyetinin mertebesi, derecesi"
"inkişaf","açılmak, ortaya çıkmak"
"MERTEBE-İ NURİYE-İ HASBİYE","Hasbünallahu ve ni'me'l-vekîl (Allah bize yeter, O ne güzel vekildir.) âyetinin mertebesi, derecesi"
"aşk-ı beka","sonsuzluk aşkı"
"beka","devamlılık ve kalıcılık, sonsuzluk"
"bizzat","doğrudan"
"mahbub","sevgili"
"kemâl-i mutlak","her yönüyle sınırsız, mükemmellik, kusursuzluk"
"Zât-ı Zülkemâlin ve Zülcelâl","sonsuz mükemmellik ve büyüklük ve haşmet sahibi Zât, Allah"
"cilve","görüntü, yansıma"
"mahiyet","esas nitelik, içyapı"
"fıtrat","yaratılış, mizaç"
"Kâmil-i Mutlak","sınırsız mükemmellik ve kusursuzluk sahibi Allah"
"beka","devamlılık ve kalıcılık, sonsuzluk"
"müteveccih","yönelen"
"muhabbet-i fıtriye","yaratılıştan var olan sevgi"
"gaflet","sorumsuzluk, duyarsızlık"
"beka","devamlılık ve kalıcılık, sonsuzluk"
"hakkalyakin","bizzat yaşamak suretiyle, kesin bilgiye ulaşma"
"zevk","zevk almak"
"beka","devamlılık ve kalıcılık, sonsuzluk"
"saadet","mutluluk"
"Bâkî-i Zülkemâl","sonsuz olan ve sınırsız mükemmellik sahibi Allah"
"beka","devamlılık ve kalıcılık, sonsuzluk"
"Rab","herbir varlığa muhtaç olduğu şeyleri veren, onları terbiye edip idaresi ve egemenliği altında bulunduran Allah"
"İlâh","kendisine ibadet edilen, Allah"
"tasdik","doğruluğunu kabul etme, onaylama"
"iz'ân","kesin anlama, idrak"
"edille","deliller"
"zevi'l-ihsâs","his sahipleri"
"dakik","ince"
"şuur-u iman","iman şuuru, bilinci"
"Risale-i Hasbiye","Hasbünallahü ve ni'me'l-vekîl (Allah bize yeter O ne güzel vekildir.) âyetinin sırlarını ve mertebelerini anlatan risale"
"beyan","açıklanmak"
"MERTEBE-İ NURİYE-İ HASBİYE","Hasbünallahu ve ni'me'l-vekîl (Allah bize yeter, O ne güzel vekildir.) âyetinin mertebesi, derecesi"
"Fıtrat","yaratılış, mizaç"
"hadsiz","sayısız, sınırsız"
"acz","güçsüzlük"
"gurbet","yabancılık, vatanından uzak olma"
"tecrid","soyutlanma, insanlardan uzaklaştırılma"
"ehl-i dünya","dünyaya dalıp, âhireti düşünmeyenler"
"desise","hile, aldatma"
"hengâm","zaman, dönem"
"taarruz","saldırmak"
"nokta-i istinad","dayanak noktası"
"müracaat","başvurmak"
"âyet","Kur'ân'da yer alan her bir cümle"
"İntisab-ı imanî","iman ederek Allah'a bağlanma"
"vesika","belge"
"kadîr-i mutlak","herşeye gücü yeten, sınırsız güç ve kuvvet sahibi"
"Sultan","her şeyin hâkimi olan Allah"
"intisap","bağlanmak"
"zemin","yer"
"mürekkep","oluşmuş"
"nebâtat","bitkiler"
"hayvânat","hayvanlar"
"cihazat","cihazlar, organlar"
"kemâl-i intizam","mükemmel ve eksiksiz düzen"
"hayvânât","hayvanlar"
"muazzam","azametli, çok büyük"
"erzak","rızıklar, yenilecek ve içilecek şeyler"
"medenî","çağdaş"
"keşf","gizli olan bir şeyi ortaya çıkarmak"
"sair","diğer, başka"
"taam","yiyecek"
"hülâsa","öz olarak hazırlanmış besin maddesi"
"medenî","çağdaş"
"hülâsa","öz olarak hazırlanmış besin maddesi"
"mükemmel","eksiksiz"
"taam","yiyecek"
"nev'i","çeşit, tür"
"Rahmânî","Rahmân olan Allah'a ait"
"hülâsa","öz olarak hazırlanmış besin maddesi"
"hülâsa","öz olarak hazırlanmış besin maddesi"
"inbisat","genişleme, büyüme"
"dair","ilgili, ait"
"kaderî","kaderle belirlenmiş"
"tarife","bir işlemin nasıl gerçekleştirileceğini gösteren belge"
"muhafaza","koruma, saklama"
"sandukça","küçük sandık"
"tevdi","vermek"
"sandukça","küçük sandık"
"icad","var etme, yaratma"
"Hâlık","her şeyi yaratan Allah"
"intisab-ı imanî","iman ederek Allah'a bağlanma"
"tezkere","belge"
"nokta-i istinad","dayanak noktası"
"hadsiz","sınırsız"
"kudret","Allah'ın bütün âlemleri kuşatan güç ve iktidarı"
"âyet","Kur'ân'da yer alan her bir cümle"
"kuvve-i mâneviye","mânevi güç, moral"
"iktidar-ı imanî","imandaki iktidar ve güç"
"MERTEBE-İ NURİYE-İ HASBİYE","Hasbünallahu ve ni'me'l-vekîl (Allah bize yeter, O ne güzel vekildir.) âyetinin mertebesi, derecesi"
"gurbet","vatanından uzak olma"
"mazlumiyet","zulme uğramışlık"
"tazyik","baskı"
"ebedî","sonsuz"
"bâki","sonsuz, devamlı ve kalıcı"
"daimî","devamlı, sürekli"
"saadet","mutluluk"
"namzet","aday olmak"
"telkin","fikir aşılamak, öğüt vermek"
"hengâm","zaman, dönem"
"tahassür","özlem, hasret çekme"
"beşâşet","güler yüzlülük"
"izhar","göstermek, ortaya çıkarmak"
"gaye-i hayal","hayal edilen gaye, hedef"
"hedef-i ruh","ruhun hedefi"
"netice-i fıtrat","yaratılışın gaye ve neticesi"
"tahakkuk","gerçekleşme"
"mahlûkat","varlıklar"
"harekât","hareketler"
"sekenat","sakinlik, hareketsiz oluş"
"ahvâl","hâller, davranışlar"
"a'mal","davranışlar, işler"
"kavlen ve fiilen","sözle ve davranışla"
"âciz-i mutlak","son derece güçsüz"
"nev-i insan","insan türü, insanlık"
"muhatap","hitap edilen"
"mahlûkat","varlıklar"
"makam","derece, konum"
"Kadîr-i Mutlak","herşeye gücü yeten, sınırsız güç ve kudret sahibi Allah"
"hadsiz","sınırsız, sayısız"
"kudret","Allah'ın bütün âlemleri kuşatan güç ve iktidarı"
"nihayetsiz","sınırsız"
"inâyet","Allah'tan gelen yardım, ihsan, iyilik"
"ehemmiyet","değer, önem"
"kudret","Allah'ın bütün âlemleri kuşatan güç ve iktidarı"
"zâhiren","görünürde"
"ehemmiyet","değer, önem"
"hakikat","asıl, esas, gerçek"
"ehemmiyet","değer, önem"
"inkişaf","gelişme, açılma"
"itminân","tatmin olma"
"izah","açıklama"
"âyet","Kur'ân'da yer alan her bir cümle"
"müracaat","başvurmak"
"lisan-ı hal","hâl ve beden dili"
"lisan-ı kal","söz ile anlatım"
"hadsiz","sınırsız, sayısız"
"nihayetsiz","sınırsız"
"nebat","bitki"
"gayetsiz","sayısız"
"lisan-ı hal","hâl ve beden dili"
"yad","anmak"
"yâdına","hatırına getirmek"
"şerâit-i hayatiyet","hayat şartları"
"tekeffül","kefil olan"
"vekil","sözcü, temsilci"
"misl","benzer"
"katre","damla"
"habbe","dane, tohum"
"müşabih","benzer"
"nebâtât","bitkiler"
"nev'i","çeşit, tür"
"noksansız","eksiksiz"
"iltibassız","birbirine karışmayan"
"mizanlı","ölçülü"
"intizamlı","düzenli, tertipli"
"fârikalı","birbirinden farklı"
"suret","biçim, şekil"
"hususan","özellikle"
"halk","yaratmak"
"kudret","Allah'ın bütün âlemleri kuşatan güç ve iktidarı"
"azamet","büyüklük, yücelik"
"haşmet","görkem"
"vahdet","Allah'ın birliğinin bütün varlıklarda görülmesi"
